Neighborhood,Borough,Longitude,Latitude,Borough_code,venue_count,category_count
Rossville,Staten Island,-74.2057645,40.55080100000019,4,5.0,0.2
Schuylerville,Bronx,-73.83262972013047,40.83674468719649,0,12.0,0.34375
Sea Gate,Brooklyn,-74.00773533632574,40.57686102095417,1,9.0,0.3103448275862069
Sheepshead Bay,Brooklyn,-73.94657983856507,40.59729972008391,1,36.0,0.44642857142857145
Shore Acres,Staten Island,-74.06664609867076,40.60792696749948,4,15.0,0.3142857142857143
Silver Lake,Staten Island,-74.09841900000005,40.62415600000011,4,5.0,0.2
SoHo,Manhattan,-74.00529964690115,40.72390437354859,2,100.0,0.5083333333333333
Soundview,Bronx,-73.87141723686304,40.82572363888529,0,20.0,0.35
South Beach,Staten Island,-74.08519804594545,40.58746048478601,4,10.0,0.3
South Brother Island,Bronx,-73.89798980295618,40.7963762025004,0,,
South Ozone Park,Queens,-73.81253300000002,40.67283633842096,3,5.0,0.2
South Slope,Brooklyn,-73.98492450000015,40.66468153597481,1,91.0,0.4774774774774775
Springfield Gardens,Queens,-73.76773368064791,40.6707278817036,3,5.0,0.16
Spuyten Duyvil,Bronx,-73.91761513706656,40.88117750248996,0,9.0,0.27586206896551724
St. Albans,Queens,-73.7646445,40.69700380801353,3,7.0,0.2222222222222222
St. George,Staten Island,-74.07977113287421,40.6423140736698,4,37.0,0.5087719298245614
Stapleton,Staten Island,-74.07667605607251,40.6304714644917,4,32.0,0.5
Stuyvesant Town,Manhattan,-73.97698990471507,40.7318076233949,2,50.0,0.5428571428571428
Sunnyside,Queens,-73.92125103224332,40.738904000000126,3,24.0,0.38636363636363635
Sunset Park,Brooklyn,-74.01199275236065,40.652168624171026,1,22.0,0.4523809523809524
Theater District,Manhattan,-73.98489032124299,40.758860375272384,2,100.0,0.44166666666666665
Throgs Neck,Bronx,-73.81603538149716,40.82001328038598,0,18.0,0.34210526315789475
Todt Hill,Staten Island,-74.10660949999992,40.59438700000028,4,,
Tompkinsville,Staten Island,-74.0876245,40.628906000000086,4,8.0,0.25
Tottenville,Staten Island,-74.23283818157624,40.50870649380606,4,6.0,0.23076923076923078
Tremont,Bronx,-73.89358562647098,40.84522941884674,0,19.0,0.3333333333333333
Tribeca,Manhattan,-74.00913790223422,40.71855800000011,2,100.0,0.5166666666666667
Two Bridges,Manhattan,-73.99761742900085,40.710568018495906,2,46.0,0.5303030303030303
Unionport,Bronx,-73.84990495502683,40.83144649076402,0,28.0,0.4583333333333333
University Heights,Bronx,-73.91006249415534,40.85815846797476,0,12.0,0.3125
Upper East Side,Manhattan,-73.95750891224642,40.77306001288474,2,100.0,0.49166666666666664
Upper West Side,Manhattan,-73.97729910197731,40.78666474183697,2,92.0,0.5267857142857143
Van Cortlandt Park,Bronx,-73.88378228572446,40.897107197356135,0,10.0,0.23333333333333334
Van Nest,Bronx,-73.86486470139774,40.845772735564005,0,45.0,0.4307692307692308
Vinegar Hill,Brooklyn,-73.98285659910138,40.70210648179588,1,56.0,0.5131578947368421
Wakefield,Bronx,-73.85229575943379,40.8963208356015,0,15.0,0.37142857142857144
Washington Heights,Manhattan,-73.93625901296812,40.84485060385245,2,75.0,0.5263157894736842
West Brighton,Staten Island,-74.11155750000006,40.62772550000008,4,35.0,0.5272727272727272
West Farms,Bronx,-73.87799200327329,40.8423865000001,0,21.0,0.36585365853658536
West Village,Manhattan,-74.00559384719745,40.73535241613813,2,100.0,0.44166666666666665
Westchester Square,Bronx,-73.84716795075096,40.84116123216927,0,34.0,0.48148148148148145
Westerleigh,Staten Island,-74.13837,40.61836850000008,4,5.0,0.2
Whitestone,Queens,-73.8124451919943,40.78750853170409,3,36.0,0.42857142857142855
Williamsbridge,Bronx,-73.85522847221287,40.8776130000002,0,9.0,0.27586206896551724
Williamsburg,Brooklyn,-73.94536976611268,40.71164250000012,1,85.0,0.4857142857142857
Willowbrook,Staten Island,-74.13906,40.600862000000234,4,5.0,0.16
Windsor Terrace,Brooklyn,-73.97991257734583,40.654210862865085,1,21.0,0.4878048780487805
Woodhaven,Queens,-73.85683513723944,40.691993690305125,3,31.0,0.4117647058823529
Woodlawn,Bronx,-73.86980335232332,40.89149695014788,0,,
Woodrow,Staten Island,-74.20054049999999,40.54145784110323,4,5.0,0.2
Woodside,Queens,-73.90163060611066,40.748394296729444,3,48.0,0.47058823529411764
