Neighborhood,Longitude,Latitude,Borough_code,mean_2019,predicted_from_neighbors,historic_est,predicted_from_sales,predicted_rt,imputed,rent_quant
Longwood,-38.42837492000009,28.165776195000166,0,,1763.0,,,1734.8021133958634,1734.8021133958634,1
Lower East Side,-38.47177991092532,28.09447571746125,2,2948.6666666666665,2722.194444444445,2745.6139175206354,3580.5593909355275,2691.3218298059965,2948.6666666666665,4
Manhattan Beach,-38.45013657799293,27.99919442188059,1,,1918.074074074074,,,1945.607674177674,1945.607674177674,3
Marble Hill,-38.43383364308715,28.204162411197483,2,,1695.2575757575758,,,1740.6819387926892,1740.6819387926892,2
Marine Park,-38.4402632537733,28.014934059190878,1,,1690.138888888889,,,1740.6819387926892,1740.6819387926892,2
Mariners Harbor,-38.561750115885445,28.037237406066467,4,,1665.229797979798,,,1711.988332090749,1711.988332090749,1
Maspeth,-38.431755035283885,28.101822855000034,3,1654.888888888889,1829.0740740740741,1717.169122059981,2035.7888212161502,1741.9449607182942,1654.888888888889,0
Melrose,-38.43704570551841,28.166130510000094,0,,1814.2333333333333,1459.698709430053,,1733.256800865801,1733.256800865801,1
Middle Village,-38.41780677157291,28.095257926224903,3,1708.3333333333333,1755.3333333333333,,2005.9101112996063,1694.739828042328,1708.3333333333333,1
Midland Beach,-38.52848488796369,27.995502605262466,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Midtown,-38.46758546140841,28.120872380668175,2,3853.1666666666665,3742.472222222222,3990.9194730761906,4154.531180794532,4111.152108555025,3853.1666666666665,4
Midwood,-38.4593631064206,28.028183917209653,1,1708.5,1786.5277777777776,1724.4936242534202,2186.0545912476755,1704.9541325957991,1708.5,1
Mill Basin,-38.43476019235511,28.021620492349886,1,,1689.5833333333333,,,1740.6819387926892,1740.6819387926892,2
Morningside Heights,-38.46058444444642,28.15885170000014,2,3067.6666666666665,2826.527777777778,2976.9879915947095,2580.6556015865635,2912.1126992143663,3067.6666666666665,4
Morris Heights,-38.43722002594934,28.187193909928215,0,,1744.1464646464647,1600.1954830051855,,1722.554338143338,1722.554338143338,1
Morris Park,-38.40250453978005,28.186693891375686,0,1630.0,1616.6666666666667,1668.6316838457144,1691.9725423025855,1644.0807896424562,1630.0,0
Morrisania,-38.43086026,28.172136566933272,0,,1622.3999999999999,,,1660.0807589786757,1660.0807589786757,0
Mott Haven,-38.43671969606354,28.15989325500019,0,2175.5,1963.8611111111113,1914.1342735751325,1711.9486685827765,1974.436053005636,2175.5,3
Mount Eden,-38.43687120000003,28.180035432352458,0,,1706.788888888889,,,1740.6819387926892,1740.6819387926892,2
Mount Hope,-38.43171696000005,28.18594248234211,0,,1572.7575757575758,,,1595.5858525733524,1595.5858525733524,0
