,Neighborhood,Borough,Longitude,Latitude,Borough_code,Calls,Calls (log)
156,Jamaica Bay,Brooklyn,-73.83384239099368,40.627521627261395,1,37,1.5682017240669948
157,Jamaica Bay,Brooklyn,-73.85381058548995,40.62367770506116,1,37,1.5682017240669948
158,Jamaica Bay,Brooklyn,-73.84034721563022,40.62869808473563,1,37,1.5682017240669948
159,Jamaica Bay,Brooklyn,-73.85103921989653,40.634431849281896,1,37,1.5682017240669948
160,Jamaica Estates,Queens,-73.7912960513679,40.719962000000095,3,732,2.8645110810583914
161,Jamaica Hills,Queens,-73.79941058190335,40.713461720339645,3,1402,3.1467480136306394
163,Kensington,Brooklyn,-73.97787350587566,40.63788954862346,1,2249,3.351989455435632
164,Kew Gardens,Queens,-73.82851053850041,40.708805146772434,3,1244,3.0948203803547996
165,Kew Gardens Hills,Queens,-73.82075102408328,40.725476430808655,3,2480,3.394451680826216
166,Kingsbridge,Bronx,-73.90194784481483,40.87566404255637,0,4202,3.6234560480699334
167,Kips Bay,Manhattan,-73.97821191956757,40.7406646271347,2,1015,3.0064660422492313
168,LaGuardia Airport,Queens,-73.8722529658778,40.77509001975983,3,125,2.0969100130080562
169,Latourette Park,Staten Island,-74.1405725,40.584393500000004,4,26,1.414973347970818
170,Laurelton,Queens,-73.74142,40.67602450000032,3,580,2.763427993562937
172,Lighthouse Hill,Staten Island,-74.13929111702572,40.573798173385974,4,29,1.462397997898956
173,Little Italy,Manhattan,-73.99718448486729,40.71880641067811,2,512,2.7092699609758304
174,Little Neck,Queens,-73.73191422131961,40.76746918933408,3,103,2.012837224705172
175,Long Island City,Queens,-73.93605157949332,40.748398310426396,3,1089,3.0370278797557746
176,Longwood,Bronx,-73.90072100000016,40.819965500000244,0,3940,3.5954962218255737
177,Lower East Side,Manhattan,-73.98419213639484,40.716631474581526,2,3008,3.478277831919604
178,Manhattan Beach,Brooklyn,-73.94257034229409,40.57854264040665,1,720,2.857332496431268
179,Marble Hill,Manhattan,-73.91121854439835,40.87559769738766,2,1577,3.1978316933289026
180,Marine Park,Brooklyn,-73.91759349843394,40.59556500667047,1,499,2.6981005456233897
181,Marine Park,Brooklyn,-73.93226000000017,40.61146263752929,1,499,2.6981005456233897
182,Marine Park,Brooklyn,-73.92089604256569,40.59703348271711,1,499,2.6981005456233897
183,Mariners Harbor,Staten Island,-74.15721176131817,40.63367740009633,4,622,2.7937903846908183
184,Maspeth,Queens,-73.90722122169977,40.72727950000005,3,764,2.8830933585756897
185,Melrose,Bronx,-73.9173955875354,40.82047900000014,0,1883,3.2748503200166645
186,Middle Village,Queens,-73.88039763764021,40.71776511047088,3,647,2.8109042806687
187,Midland Beach,Staten Island,-74.09324016916095,40.57319218153981,4,120,2.0791812460476247
188,Midtown,Manhattan,-73.97612588732386,40.75488750821475,2,1179,3.0715138050950888
189,Midwood,Brooklyn,-73.96031366619346,40.62055640175312,1,3681,3.565965817446666
190,Mill Basin,Brooklyn,-73.91300036991366,40.61104419181143,1,393,2.5943925503754266
191,Morningside Heights,Manhattan,-73.96266239316618,40.80993000000021,2,5934,3.773347541980823
192,Morris Heights,Bronx,-73.91773081913334,40.851005666562635,0,5231,3.718584720027436
193,Morris Park,Bronx,-73.85097026880779,40.85028100199375,0,482,2.683047038238849
194,Morrisania,Bronx,-73.9055005,40.82918343033808,0,3287,3.516799704081624
195,Mott Haven,Bronx,-73.91676864627604,40.811439500000276,0,3160,3.4996870826184034
196,Mount Eden,Bronx,-73.91706000000005,40.84063106138038,0,4131,3.616055194976586
197,Mount Hope,Bronx,-73.90714800000009,40.849192003394364,0,5952,3.7746629225378223
198,Murray Hill,Manhattan,-73.97543710097187,40.747921180735645,2,1312,3.117933835039641
199,Navy Yard,Brooklyn,-73.97117499999999,40.703355555639796,1,1802,3.2557547866430436
200,Neponsit,Queens,-73.86139603496709,40.57202628402095,3,21,1.322219294733919
201,New Brighton,Staten Island,-74.09125961011983,40.64143835247853,4,863,2.9360107957152093
202,New Dorp,Staten Island,-74.11480790675668,40.57218817961181,4,233,2.3673559210260184
203,New Dorp Beach,Staten Island,-74.10372192979787,40.56649208907305,4,202,2.305351369446624
204,New Springville,Staten Island,-74.15800803976741,40.5836730000002,4,370,2.5682017240669945
205,NoHo,Manhattan,-73.99376450000007,40.72710928302578,2,1006,3.0025979807199086
206,Nolita,Manhattan,-73.99513685523098,40.72226452333338,2,1027,3.011570443597278
207,North Brother Island,Bronx,-73.89833836913866,40.80075699278089,0,7,0.8450980400142567
208,North Riverdale,Bronx,-73.90531430528651,40.90790611989968,0,578,2.761927838420529
209,Norwood,Bronx,-73.8793503180936,40.87693672444432,0,5863,3.7681198941847973
210,Oakwood,Staten Island,-74.11736857100658,40.55837175019512,4,263,2.4199557484897576
211,Olinville,Bronx,-73.86609744928245,40.87841501748305,0,2524,3.4020893505720964
212,Ozone Park,Queens,-73.84858507978564,40.67872800000027,3,2551,3.4067104586097896
213,Park Hill,Staten Island,-74.07838818108415,40.61350971702126,4,431,2.634477270160731
214,Park Slope,Brooklyn,-73.9795815818139,40.6747389855937,1,1268,3.1031192535457137
215,Parkchester,Bronx,-73.86731974692722,40.83563949999932,0,2606,3.4159744113765655
216,Pelham Bay,Bronx,-73.83440297735086,40.85015434340984,0,906,2.957128197676813
217,Pelham Bay Park,Bronx,-73.78649445624406,40.87325813332093,0,6,0.7781512503836435
218,Pelham Bay Park,Bronx,-73.78619360480815,40.873742523557375,0,6,0.7781512503836435
219,Pelham Bay Park,Bronx,-73.80657365513646,40.86620240957345,0,6,0.7781512503836435
220,Pelham Gardens,Bronx,-73.8421049408013,40.86321578704431,0,369,2.56702636615906
221,Pelham Islands,Bronx,-73.78892184853424,40.83491446453964,0,12,1.0791812460476247
222,Pelham Islands,Bronx,-73.80458451998442,40.84183761290867,0,12,1.0791812460476247
223,Pelham Islands,Bronx,-73.78109060264822,40.85552796116256,0,12,1.0791812460476247
224,Pelham Islands,Bronx,-73.78338995584949,40.85572781631201,0,12,1.0791812460476247
225,Pelham Islands,Bronx,-73.78308125668565,40.86246242310318,0,12,1.0791812460476247
226,Pelham Islands,Bronx,-73.78411635575188,40.86284338744592,0,12,1.0791812460476247
227,Pelham Islands,Bronx,-73.77493872084095,40.86162265817431,0,12,1.0791812460476247
228,Pelham Islands,Bronx,-73.76993960128691,40.86532705487395,0,12,1.0791812460476247
229,Pelham Islands,Bronx,-73.7672420761198,40.86710047964499,0,12,1.0791812460476247
230,Pelham Islands,Bronx,-73.77139376666901,40.87122902757998,0,12,1.0791812460476247
231,Pelham Islands,Bronx,-73.7742926540054,40.87448692738307,0,12,1.0791812460476247
232,Pelham Islands,Bronx,-73.78261009687866,40.874980395036516,0,12,1.0791812460476247
233,Pelham Islands,Bronx,-73.78118027611487,40.87646885298421,0,12,1.0791812460476247
234,Pelham Islands,Bronx,-73.78657573572333,40.880313749510336,0,12,1.0791812460476247
235,Pleasant Plains,Staten Island,-74.2271997745543,40.52052950000018,4,360,2.5563025007672873
236,Plum Beach,Brooklyn,-73.9203670773203,40.58391005715844,1,34,1.5314789170422551
237,Port Ivory,Staten Island,-74.17857436747138,40.64279189823903,4,156,2.1931245983544616
238,Port Morris,Bronx,-73.91101006000991,40.80490038494448,0,1316,3.1192558892779365
239,Port Richmond,Staten Island,-74.13739491547852,40.63306739870265,4,791,2.8981764834976764
240,Prince's Bay,Staten Island,-74.20149762310653,40.5225252656991,4,266,2.4248816366310666
241,Prospect Heights,Brooklyn,-73.97001328740814,40.67783631164062,1,3626,3.5594277997594896
242,Prospect Park,Brooklyn,-73.97074654999096,40.66310617453385,1,721,2.857935264719429
243,Prospect-Lefferts Gardens,Brooklyn,-73.9513250221878,40.65915050000008,1,10936,4.038858501559766
244,Queens Village,Queens,-73.74577217541619,40.71705481088572,3,1546,3.1892094895823058
245,Randall Manor,Staten Island,-74.11200599999995,40.6360342161002,4,1054,3.0228406108765276
246,Randall's Island,Manhattan,-73.92492724993802,40.79145942139286,2,518,2.7143297597452327
247,Red Hook,Brooklyn,-74.00930598932342,40.67415266814583,1,641,2.8068580295188172
248,Rego Park,Queens,-73.8615795,40.72380572999136,3,1581,3.198931869932209
249,Richmond Hill,Queens,-73.82765502632074,40.69232800000006,3,4783,3.679700380871964
250,Richmondtown,Staten Island,-74.13165720924812,40.56965668829342,4,112,2.049218022670181
251,Ridgewood,Queens,-73.90754264818423,40.702920112071794,3,9008,3.954628377507271
252,Rikers Island,Bronx,-73.88180428781538,40.792053575683994,0,2,0.30102999566398114
253,Riverdale,Bronx,-73.91144992241985,40.89378927906413,0,293,2.4668676203541096
254,Rockaway Beach,Queens,-73.80811227824833,40.58810109076626,3,502,2.700703717145019
255,Rockaway Park,Queens,-73.83186382357025,40.581051657565396,3,768,2.8853612200315117
256,Roosevelt Island,Manhattan,-73.95080978350404,40.761180303499174,2,2205,3.343408593803857
257,Rosebank,Staten Island,-74.07206913097156,40.61293107727648,4,153,2.1846914308175984
258,Rosedale,Queens,-73.74066976257728,40.65926166121763,3,777,2.890421018800914
